vocab_id,german,english
1,seits,hand
2,Zimmer,room
3,berühren,touch
4,arm,poor
5,Erde,planet
6,Thema,subject
7,Moment,moment
8,Bewegung,motion
9,Jahrhundert,century
10,Versorgung,supply
11,Entwurf,design
12,Erfahrung,experience
13,besitzen,own
14,sammeln,collect
15,Stamm,master
16,schwer,heavy
17,zweite,second
18,sonst,else
19,Karte,map
20,erfordern,require
21,Insel,island
22,Kuh,cow
23,Spiel,match
24,hinter,behind
25,verbinden,connect
26,Krawatte,tie
27,wenn,when
28,buchstabieren,spell
29,froh,glad
30,weiß,white
31,glücklich,happy
32,Frau,woman
33,so,thus
34,wollen,want
35,milch,milk
36,könnte,could
37,Kontinent,continent
38,Typ,type
39,fühlen,feel
40,sitzen,sit
41,Zeichen,symbol
42,regen,rain
43,machen,make
44,Abend,evening
45,Schlaf,sleep
46,Stein,stone
47,erlauben,allow
48,Idee,idea
49,Schreiben,letter
50,mischen,mix
51,haben,have
52,füllen,fill
53,Familie,family
54,nur,just
55,sehen,see
56,dezimal,decimal
57,gefunden,found
58,Material,material
59,Beginn,start
60,Anlage,plant
61,Kraft,force
62,sie,her
63,essen,eat
64,dies,this
65,Beispiel,example
66,Dampf,steam
67,plötzlich,sudden
68,Strom,current
69,begann,began
70,Linie,line
71,kaufen,buy
72,Schuh,shoe
73,muss,must
74,Tür,door
75,Ende,end
76,Zustand,condition
77,erscheinen,appear
78,Gedicht,poem
79,zustimmen,agree
80,vorbereiten,prepare
81,König,king
82,deren,whose
83,sicher,safe
84,Antriebs,drive
85,richtig,proper
86,schleppend,slow
87,groß,great
88,abweichen,differ
89,Glocke,bell
90,hundert,hundred
91,tragen,bear
92,dienen,serve
93,für,for
94,ist,is
95,Fehl,miss
96,beschäftigt,busy
97,Seite,side
98,schaffen,create
99,Lied,song
100,Baumwolle,cotton
101,doppelt,double
102,Maßstab,scale
103,Hinweis,notice
104,Kreis,circle
105,fünf,five
106,vor,ago
107,Bit,bit
108,unter,under
109,vielleicht,perhaps
110,Dame,lady
111,betrachten,consider
112,Dreieck,triangle
113,Kopf,head
114,sparen,save
115,wird nicht,won’t
116,Boden,ground
117,ob,whether
118,neun,nine
119,gemeinsam,common
120,besser,better
121,Fledermaus,bat
122,Weg,way
123,umfassen,include
124,Größe,size
125,mais,corn
126,ganze,whole
127,früh,early
128,Kinder,children
129,möglich,possible
130,einige,some
131,sehr,very
132,küken,chick
133,beitreten,join
134,Einzel,single
135,durch,through
136,beide,both
137,ging,went
138,vergleichen,compare
139,Umzug,move
140,trennen,separate
141,Salz,salt
142,Hauptstadt,capital
143,Achtung,danger
144,Land,country
145,gehalten,kept
146,ihm,him
147,Akt,act
148,Bruder,brother
149,Wörterbuch,dictionary
150,Baum,tree
151,gut,good
152,Falte,crease
153,steigen,rise
154,wählen,select
155,Vergangenheit,past
156,Soldat,soldier
157,Spalte,column
158,Filz,felt
159,ja,yes
160,Mittag,noon
161,von,of
162,malen,paint
163,geöffnet,open
164,brennen,burn
165,Hälfte,half
166,heiß,hot
167,Markt,market
168,üblich,usual
169,noch,still
170,Alter,age
171,merken,remember
172,mir,me
173,Pfund,pound
174,Feld,field
175,hören,hear
176,Objekt,object
177,Vogel,bird
178,Schrei,shout
179,ruhig,quiet
180,warme,warm
181,Atom,atom
182,gebracht,brought
183,Rekord,record
184,Druck,print
185,Schritt,step
186,lösen,solve
187,gekauft,bought
188,Reise,travel
189,links,left
190,Stück,piece
191,halten,keep
192,alt,old
193,ziehen,draw
194,Menge,lot
195,Lachen,laugh
196,Welle,wave
197,Haar,hair
198,laufen,run
199,gehen,go
200,wusste,knew
201,Magnet,magnet
202,Nomen,noun
203,nie,never
204,Sprache,language
205,erwarten,expect
206,jetzt,now
207,Sklave,slave
208,Öl,oil
209,Lande,land
210,viele,many
211,führen,guide
212,am meisten,most
213,Messe,fair
214,Sonne,sun
215,Wasser,water
216,hinzufügen,add
217,Wirkung,effect
218,Akkord,chord
219,fähig,able
220,abhängen,depend
221,Aufzug,lift
222,nahm,took
223,Katze,cat
224,gewinnen,win
225,Schnur,string
226,Stretch,stretch
227,Zeit,period
228,sollte,should
229,tot,dead
230,Verbum,verb
231,Wolke,cloud
232,Klasse,class
233,Rad,wheel
234,Kopie,copy
235,dunkel,dark
236,seltsam,strange
237,Stunde,hour
238,dick,thick
239,Zug,train
240,See,lake
241,verlassen,leave
242,hoch,high
243,Gruppe,group
244,Freund,friend
245,neu,new
246,geführt,led
247,Leiste,bar
248,lassen,let
249,erhöhen,raise
250,Wert,value
251,nichts,nothing
252,vertreten,represent
253,Reihe,row
254,Stick,stick
255,Teilung,division
256,wie,how
257,finden,find
258,apfel,apple
259,Rennen,race
260,bis,until
261,Segment,segment
262,Mitte,middle
263,Energie,energy
264,Ei,egg
265,liebe,dear
266,zu,too
267,betreiben,operate
268,fliegen,fly
269,wuchs,grew
270,sagte,told
271,wird,shall
272,Schönheit,beauty
273,Wald,forest
274,auch,also
275,breit,broad
276,Original,original
277,selbst,self
278,als,than
279,ein,one
280,Wärme,heat
281,auf,on
282,Rand,edge
283,Oberfläche,surface
284,Tal,valley
285,stehen,stand
286,allgemein,general
287,klingen,sound
288,Dorf,village
289,sieben,seven
290,zeigen,show
291,vorhanden,present
292,fallen,drop
293,wilden,wild
294,ziemlich,pretty
295,Vater,father
296,Begriff,term
297,Haus,house
298,Fang,catch
299,schnell,quick
300,Formular,form
301,ängstlich,afraid
302,hell,bright
303,Schiene,rail
304,diejenigen,those
305,Tonhöhe,pitch
306,entfernt,distant
307,niedrig,low
308,Gesicht,face
